sex_active,race,age,age11,age12,age13,age14,age15,age16,age17
Male,White,13,0,1.55,,,,,
Male,White,14,1.29,2.69,6.6,,,,
Male,White,15,8.7,12.8,25.7,95.13,,,
Male,White,16,8.74,10.7,20.87,44.52,135.52,,
Male,White,17,10.88,8.52,17.32,41.57,111.62,183.87,
Male,White,18,5.33,5,18.7,51.82,55.3,72.96,95.22
Male,Black,13,0,0,,,,,
Male,Black,14,8.85,5.57,5.19,,,,
Male,Black,15,11.96,5.75,16.35,29.89,,,
Male,Black,16,9.15,10.55,13.73,18.69,30.95,,
Male,Black,17,14.79,7.3,14.03,23.18,31.43,16.23,
Male,Black,18,12.14,6.7,9.8,11.75,15.06,14.09,15.33
Male,Hispanic,13,0,0,,,,,
Male,Hispanic,14,7.61,2.58,3.92,,,,
Male,Hispanic,15,7.73,14.6,9.78,25.16,,,
Male,Hispanic,16,5.33,15.38,20.87,31.69,66.02,,
Male,Hispanic,17,6.58,12.82,20.15,22.16,61.61,55.52,
Male,Hispanic,18,10.58,2.88,13.18,19.55,20.16,25.12,28.1
Female,White,13,0,0,,,,,
Female,White,14,5.37,2.29,16.02,,,,
Female,White,15,9.81,6.18,12.21,78.69,,,
Female,White,16,10.8,8.42,31.49,58.34,126.8,,
Female,White,17,3.77,8.58,33.02,62.73,123.27,198.46,
Female,White,18,3.47,2.97,12,21.3,63.79,68.58,83.44
Female,Black,13,0,0,,,,,
Female,Black,14,0.44,3.11,3.42,,,,
Female,Black,15,1.53,2.21,9.51,27.77,,,
Female,Black,16,2.09,0.5,11.81,21.04,35.85,,
Female,Black,17,2.2,1.68,7.39,13.68,31.77,35.29,
Female,Black,18,7.75,0.47,2.5,2.3,10.25,20.38,19.45
Female,Hispanic,13,0,0,,,,,
Female,Hispanic,14,4.64,1.73,6.33,,,,
Female,Hispanic,15,4.54,0.95,15.39,44.48,,,
Female,Hispanic,16,9.07,0.44,9.08,28.93,58.95,,
Female,Hispanic,17,0.44,0.79,14.12,21.83,34.82,65.51,
Female,Hispanic,18,3.7,0,4.41,10.85,37.01,27.72,38.49
